Job_Title_Sim,Jobs_Name,Skill,Job_Count
"Other Scientist","Senior Scientist (Neuroscience)",Excel,1
"ML Engineer","Machine Learning Engineer - Regulatory",Excel,1
"Other Scientist","Scientist, Bacteriology",Excel,1
"Data Engineer","Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence",Excel,1
"Data Analyst","Foundational Community Supports Data Analyst",Excel,1
"Data Scientist","Data Scientist - Systems Engineering",Excel,1
"Other Scientist","Quality Control Scientist III- Analytical Development",Excel,1
"Other Scientist","Clinical Scientist, Clinical Development",Excel,1
"Other Scientist","Scientist - Analytical Services",Excel,1
"Data Scientist","Manager, Safety Scientist, Medical Safety & Risk Management",Excel,1
"Data Engineer","Data Engineer - Consultant (Charlotte Based)",Excel,1
"Data Analyst","Data Analyst 1, full-time contract worker for up to 12 months",Excel,1
"Data Scientist","Jr. Data Scientist",Excel,1
"Data Scientist","Senior Insurance Data Scientist",Excel,1
"Other Scientist","ENVIRONMENTAL ENGINEER/SCIENTIST",Excel,1
"Other Scientist","Senior Scientist - Regulatory Submissions",Excel,1
"Data Scientist","Revenue Analytics Manager",Excel,1
"Other Scientist","Associate Scientist, LC/MS Biologics",Excel,1
"Other Scientist","Sr. Scientist Method Development",Excel,1
"Data Engineer","IT - Data Engineer II",Excel,1
"Other Scientist","Research Scientist, Immunology - Cancer Biology",Excel,1
"Other Scientist","Project Scientist - Auton Lab, Robotics Institute",Excel,1
"Not Specified","Enterprise Architect, Data",Excel,1
"Data Scientist","Senior Manager, Epidemiologic Data Scientist",Excel,1
"Data Analyst","Corporate Risk Data Analyst (sql_ Based) - Milwaukee or",Excel,1
"Data Analyst","Marketing Data Analyst, May 2020 Undergrad",Excel,1
"Data Modeler","Data Modeler - Data Solutions Engineer",Excel,1
"Other Scientist","Associate Environmental Scientist - Wildlife Biologist",Excel,1
"Data Scientist","Associate, Data Science, Internal Audit",Excel,1
"Not Specified","Technology-Minded, Data Professional Opportunities",Excel,1
"Data Scientist","Managing Data Scientist/ML Engineer",Excel,1
"Data Engineer","Lead Big Data Engineer",Excel,1
"Data Scientist","Product Engineer â€“ Spatial Data Science and Statistical Analysis",Excel,1
